NAME                       INSTALLED                 FIXED-IN                  TYPE       VULNERABILITY        SEVERITY 
rpm-build-libs             4.11.3-40.amzn2.0.3       4.11.3-40.amzn2.0.6       rpm        ALAS-2021-1689       Medium    
rpm-libs                   4.11.3-40.amzn2.0.3       4.11.3-40.amzn2.0.6       rpm        ALAS-2021-1689       Medium    
sqlite                     3.7.17-8.amzn2.1.1        3.7.17-8.amzn2.1.2        rpm        ALAS-2023-1911       High      
systemd                    219-57.amzn2.0.12         219-78.amzn2.0.14         rpm        ALAS-2021-1647       Medium    
systemd                    219-57.amzn2.0.12         219-78.amzn2.0.20         rpm        ALAS-2022-1854       High      
systemd                    219-57.amzn2.0.12         219-78.amzn2.0.21         rpm        ALAS-2022-1899       Medium    
systemd-libs               219-57.amzn2.0.12         219-78.amzn2.0.14         rpm        ALAS-2021-1647       Medium    
systemd-libs               219-57.amzn2.0.12         219-78.amzn2.0.20         rpm        ALAS-2022-1854       High      
systemd-libs               219-57.amzn2.0.12         219-78.amzn2.0.21         rpm        ALAS-2022-1899       Medium    
systemd-sysv               219-57.amzn2.0.12         219-78.amzn2.0.14         rpm        ALAS-2021-1647       Medium    
systemd-sysv               219-57.amzn2.0.12         219-78.amzn2.0.20         rpm        ALAS-2022-1854       High      
systemd-sysv               219-57.amzn2.0.12         219-78.amzn2.0.21         rpm        ALAS-2022-1899       Medium    
util-linux                 2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.10       rpm        ALAS-2022-1901       Medium    
util-linux                 2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.9        rpm        ALAS-2022-1878       Medium    
vim-minimal                2:8.1.1602-1.amzn2        8.2.3642-1.amzn2.0.1      rpm        ALAS-2021-1728       Medium    
vim-minimal                2:8.1.1602-1.amzn2        8.2.4006-1.amzn2.0.1      rpm        ALAS-2022-1743       Medium    
vim-minimal                2:8.1.1602-1.amzn2        8.2.4314-1.amzn2.0.1      rpm        ALAS-2022-1751       Medium    
vim-minimal                2:8.1.1602-1.amzn2        8.2.4428-1.amzn2.0.3      rpm        ALAS-2022-1771       Medium    
vim-minimal                2:8.1.1602-1.amzn2        8.2.4857-1.amzn2.0.1      rpm        ALAS-2022-1805       Medium    
vim-minimal                2:8.1.1602-1.amzn2        8.2.5172-1.amzn2.0.1      rpm        ALAS-2022-1829       Medium    
vim-minimal                2:8.1.1602-1.amzn2        9.0.1006-1.amzn2.0.1      rpm        ALAS-2023-1912       Medium    
vim-minimal                2:8.1.1602-1.amzn2        9.0.475-1.amzn2.0.1       rpm        ALAS-2022-1868       Low       
vim-minimal                2:8.1.1602-1.amzn2        9.0.828-1.amzn2.0.1       rpm        ALAS-2022-1902       High      
xz-libs                    5.2.2-1.amzn2.0.2         5.2.2-1.amzn2.0.3         rpm        ALAS-2022-1782       High      
zlib                       1.2.7-18.amzn2            1.2.7-19.amzn2.0.1        rpm        ALAS-2022-1772       High      
zlib                       1.2.7-18.amzn2            1.2.7-19.amzn2.0.2        rpm        ALAS-2022-1849       Medium    
